Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320589.9967,321170.0032,326880.0017,330319.9968,339339.9976,347470.0012,351490.0021,359480.0059,377549.9947,380660.0016,380559.9972,382970.0007,403830.0037,416979.9973,425989.9994,443059.9972,442300.0018,468919.9985,486810.001,487679.9963,503890.0062,508730.0029,494579.9962,496859.996,501330.0011,509910.0008,515159.9966,518240.0045,519999.9982,525299.9978,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6739.999771,7019.999981,7130.000114,7210.000038,7469.99979,7829.999924,8670.000076,9399.999619,9960.000038,10779.99973,9560.00042,8350.000381,10199.99981,10510.00023,10500,10729.99954,11180.00031,11609.99966,12899.99962,13390.00034,15199.99981,15500,15630.00011,15819.99969,16299.99924,15960.00004,15829.99992,15609.99966,15909.99985,16370.00084,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225170,244579.9972,253969.9994,259030.0042,264790.0005,263709.9996,269409.9948,266670.0027,262830.0003,255049.9974,261660.0039,261809.9992,257370.0026,273290.0009,279449.9964,289689.9984,288469.9993,286409.9998,287830.0029,284060.0029,300400.0024,308019.9983,310789.9959,315619.9996,323400.0052,330440.0021,343199.9995,349769.998,359360.009,366629.9982,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21219.99931,21489.99977,21950.00076,22579.99992,23479.99954,25229.99954,25389.99939,25690.00053,27889.99939,27090.00015,27079.99992,27090.00015,28610.00061,30729.99954,31620.00084,33099.99847,32590.00015,35330.00183,36400.00153,35529.99878,36900.00153,36639.99939,35770.00046,35759.99832,34900.00153,37110.00061,37430.00031,37619.99893,34000,35090.00015,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3539.999962,3500,3410.000086,3490.00001,4079.999924,4079.999924,3910.000086,3700.000048,3559.999943,3609.999895,3670.000076,3609.999895,3559.999943,3569.999933,3500,3490.00001,3440.000057,3299.999952,3130.000114,3019.999981,3029.999971,3019.999981,3059.999943,3059.999943,3089.999914,3109.999895,3089.999914,3049.999952,3009.99999,2849.999905,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99999955,19.99999955,19.99999955,29.99999933,29.99999933,29.99999933,29.99999933,29.99999933,29.99999933,29.99999933,29.99999933,29.99999933,39.99999911,39.99999911,39.99999911,39.99999911,39.99999911,50.00000075,50.00000075,50.00000075,50.00000075,50.00000075,50.00000075,50.00000075,50.00000075,50.00000075,50.00000075,50.00000075,50.00000075,50.00000075,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407350,394510.0027,409310.0029,435069.9973,457850.0009,473229.9997,484769.9934,506850.0012,530690.0029,541429.9922,565070.0068,555349.9985,552449.9977,569779.9948,589839.9985,610509.9941,621190.0008,625570.0102,640569.9871,628789.9988,647359.9962,629389.9976,684220.0056,669139.9928,660750.002,671169.9964,696080.0005,715760.0003,733430.0073,747469.9945,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16459.99908,17870.00084,17809.99947,18280.00069,19670.00008,20370.00084,21290.00092,21520.00046,21469.99931,20969.99931,22000,23520.00046,23719.99931,26969.99931,28540.00092,30889.99939,32700.00076,33439.99863,34840.00015,34069.99969,35720.00122,38360.00061,40310.00137,42439.99863,42869.99893,45709.99908,47360.00061,46900.00153,47459.99908,49799.99924,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109580.0018,108709.9991,110650.0015,109540.0009,110489.9979,111970.0012,110720.0012,111150.0015,110139.9994,114050.0031,115919.9982,116089.9963,119339.9963,126970.0012,128809.9976,128270.0043,130539.9933,130809.9976,130190.0024,124010.0021,115949.9969,115250,118709.9991,120360.0006,121540.0009,122010.0021,123599.9985,127550.0031,127540.0009,128800.0031,,
